/juice/scr/cpajot/data_processed_coraal/wav/DCB_se1_ag2_m_01_1_part_193.wav,/juice/scr/cpajot/data_processed_coraal/txt/DCB_se1_ag2_m_01_1_part_193.txt,DC WELL DC P DC PEOPLE LIKE THEY LIKE TO SAY MO AND BOB,1,DC? Well DC p- DC people like they like to say Mo and Bob.,5.3439999999999985
/juice/scr/cpajot/data_processed_coraal/wav/ATL_se0_ag2_f_01_1_part_27.wav,/juice/scr/cpajot/data_processed_coraal/txt/ATL_se0_ag2_f_01_1_part_27.txt,UM WHAT'S ANOTHER SHOW OH STAR THAT NEW ONE FROM LEE DANIELS THAT'S REALLY GOOD UH I WATCH POWER UM I WATCH REALITY TV I LIKE VANDERPUMP RULES UH WHAT ELSE LOVE AND HIP HOP SOMETIMES I WATCH THAT NOT TOO MUCH INTO THIS SEASON,1,"Um, what's another show? Oh, Star, that new one from Lee Daniels, that's really good. Uh, I watch Power. Um, <ts> I watch reality TV, I like Vanderpump Rules. Uh, what else? Love and Hip Hop, sometimes I watch that. Not too much into this season.",21.516
/juice/scr/cpajot/data_processed_coraal/wav/DCB_se1_ag3_m_02_1_part_46.wav,/juice/scr/cpajot/data_processed_coraal/txt/DCB_se1_ag3_m_02_1_part_46.txt,GROWING UP MM PROBABLY JUST WHEN WE WENT TO THE PARK AND COOKED OUT BUT WE DID THAT RARELY LIKE WE AIN'T REALLY DO TOO MUCH FAMILY SHIT YOU KNOW WE WAS ALREADY IN THE HOUSE THE FAMILY SHIT WAS GOING ON EVERY DAY,1,"Growing up. Mm. Probably just when we went to the park and cooked out but we did that rarely, like we ain't really do too much family shit. <clears throat> You know, we was already in the house, the family shit was going on every day.",20.689
/juice/scr/cpajot/data_processed_coraal/wav/PRV_se0_ag3_f_04_1_part_28.wav,/juice/scr/cpajot/data_processed_coraal/txt/PRV_se0_ag3_f_04_1_part_28.txt,AND MY NEIGHBOR WOKE ME UP AND TOLD ME SAY YOU KNOW THAT UH MY NEPHEW CALL ME AND SAY HE WAS GONNA GET HIS MAMA AND HE WAS COMING BY AT US SAID THAT SAID THE DAM GONNA BUST,1,"And my neighbor woke me up and told me, say, you know that uh, my nephew call me and say he was gonna get his mama, and he was coming by /at us/, Said that- Said the dam gonna bust.",16.907
/juice/scr/cpajot/data_processed_coraal/wav/ROC_se0_ag3_f_01_1_part_49.wav,/juice/scr/cpajot/data_processed_coraal/txt/ROC_se0_ag3_f_01_1_part_49.txt,SO YOU KNOW SHE WAS LIKE I KNOW BUT I THINK THAT WAS JUST HER WAY OF SAYING A ENOUGH IS ENOUGH I'M TIRED,1,"So, you know, she was like, I know. But I think that was just her way of saying a- enough is enough. [I'm tired.]",6.82
/juice/scr/cpajot/data_processed_coraal/wav/ATL_se0_ag1_f_03_1_part_26.wav,/juice/scr/cpajot/data_processed_coraal/txt/ATL_se0_ag1_f_03_1_part_26.txt,UM FOR A MID LINE THREE BACK LINE THE LEAST IS LIKE TWO FIFTY,1,"Um, for a mid line, three. Back line, the least is like two fifty.",5.541
/juice/scr/cpajot/data_processed_coraal/wav/DCB_se2_ag4_f_04_1_part_49.wav,/juice/scr/cpajot/data_processed_coraal/txt/DCB_se2_ag4_f_04_1_part_49.txt,BUT MR MADE SURE THAT WE WERE ABLE TO EXPERIENCE DIFFERENT THINGS AND AND WE WERE THE KIND OF THE TRAIL BLAZERS FOR THAT FOR OTHER SCHOOLS AND THEN I LEFT THERE AND WENT TO HIGH SCHOOL WHICH UM WAS I ENJOYED MY TIME AT,1,"But Mister /RD-NAME-2/ made sure that we were able to experience different things, and- and we were the- kind of the trail blazers for that for other schools. And then I left there and went to /RD-SCHOOL-2/ High School, which um, /RD-SCHOOL-2/ was- <sigh> I enjoyed my time at /RD-SCHOOL-2/.",20.798
/juice/scr/cpajot/data_processed_coraal/wav/DCB_se1_ag3_f_03_1_part_166.wav,/juice/scr/cpajot/data_processed_coraal/txt/DCB_se1_ag3_f_03_1_part_166.txt,CAUSE IT SHOULD BE NO REASON THAT THESE FAMILIES SHOULD BE LIVING IN SHELTERS LIVING IN HOTELS YOU KNOW IT'S IT'S CRAZY AND THAT'S I HAD TO TELL MY SON THAT PLEASE BE GRATEFUL ABOUT WHAT YOU HAVE CAUSE IT'S KIDS OUT HERE WHO DON'T HAVE ANY THING WHEN I SAY ANYTHING THEY LIVING ON THE STREET NOT EVEN IN A BUILDING ON THE STREET,1,"Cause it should be no reason that these families should be living in shelters, living in hotels. You know, it's- it's crazy, and that's- I had to tell my son that please be grateful about what you have cause it's kids out here who don't have any thing. When I say anything, they living on the street, not even in a building. On the street.",19.988
/juice/scr/cpajot/data_processed_coraal/wav/PRV_se0_ag3_m_02_2_part_38.wav,/juice/scr/cpajot/data_processed_coraal/txt/PRV_se0_ag3_m_02_2_part_38.txt,I'M TELLING YOU SEE I AIN'T NEVER SEEN NOBODY I WANNA HURT THEN A WOMAN GONNA LET ME ON THAT BED LET ME BE IN HER AND AND I AIN'T NEVER FELT NO WHEN YOU GET UP THERE ON ONE LIKE YOU WANT,1,"I'm telling you see I ain't never seen nobody I wanna hurt. Then a woman gonna let me on that bed, let me be in her, and- and I ain't never felt no /??/ when you get up there on one like you want.",9.148
/juice/scr/cpajot/data_processed_coraal/wav/ATL_se0_ag1_f_03_1_part_8.wav,/juice/scr/cpajot/data_processed_coraal/txt/ATL_se0_ag1_f_03_1_part_8.txt,UH ON A TYPICAL WEEKEND PROBABLY GO OUT TO A PARTY OR TO A CLUB OR TO A LOUNGE OR GO BOWLING OR SOMETHING OR STUDIO,1,"Uh, on a typical weekend, probably go out. to a party, or to a club, or to a lounge, or go bowling. Or something, or studio.",9.114
/juice/scr/cpajot/data_processed_coraal/wav/DCB_se3_ag4_m_01_1_part_57.wav,/juice/scr/cpajot/data_processed_coraal/txt/DCB_se3_ag4_m_01_1_part_57.txt,AND THAT'S ONE OF THE THINGS THAT UH I W I'M REALLY PUSHING TO TAKE THEM MY KIDS TO THE UH AFRICAN AMERICAN MUSEUM BECAUSE THERE'S SO MUCH THERE THAT'S A PART OF US THAT THEY HAVE NO CLUE ABOUT BECAUSE THEY'RE NOT GETTING IT IN SCHOOL,1,"and that's one of the things that, uh, I w- I'm really pushing to take them, my kids, to the, uh, African American Museum because there's so much there that's a part of us that they have no clue about because they're not getting it in school,",20.058
